date,version,team,attack,defense,control,efficiency,mentality,tempo,press,transition,tactical,home_strength,tournament_dna,form,uncertainty,coach_rating,transfer_rating,squad_depth,reason
2026-07-18,9.0,Зенит,88,79,80,78,84,79,77,77,81,81,84,84,16,87,79,88,Старт сезона
2026-07-18,9.0,Краснодар,80,77,79,77,82,77,76,75,79,79,79,79,22,84,80,84,Старт сезона
2026-07-18,9.0,Локомотив,81,78,80,78,79,74,73,72,77,76,87,87,20,79,75,80,Старт сезона
2026-07-18,9.0,Динамо М,80,78,76,74,78,73,72,71,76,75,81,81,24,77,74,79,Старт сезона
2026-07-18,9.0,Спартак,80,76,75,72,76,73,74,71,75,75,76,76,32,75,73,78,Старт сезона
2026-07-18,9.0,ЦСКА,78,80,73,71,74,72,71,70,73,72,79,79,26,73,71,76,Старт сезона
2026-07-18,9.0,Ахмат,76,75,74,72,77,72,71,70,74,74,78,78,28,76,72,77,Старт сезона
2026-07-18,9.0,Рубин,75,76,74,72,76,72,72,70,74,74,71,71,30,75,72,77,Старт сезона
2026-07-18,9.0,Ростов,74,74,73,71,75,71,71,69,73,72,74,74,28,74,71,76,Старт сезона
2026-07-18,9.0,Балтика,71,72,72,70,73,70,70,69,72,71,76,76,26,72,69,74,Старт сезона
2026-07-18,9.0,Акрон,70,71,71,69,72,69,69,68,71,70,75,75,30,71,68,73,Старт сезона
2026-07-18,9.0,Оренбург,72,73,73,71,74,71,71,70,73,72,70,70,32,73,70,75,Старт сезона
2026-07-18,9.0,Факел,70,72,72,70,73,70,70,69,72,71,68,68,34,72,69,74,Старт сезона
2026-07-18,9.0,Крылья Советов,69,71,72,70,73,70,70,68,72,71,67,67,36,72,70,75,Старт сезона
2026-07-18,9.0,Динамо Мх,68,70,70,69,72,69,70,69,71,70,70,70,32,71,69,73,Старт сезона
2026-07-18,9.0,Родина,67,69,70,69,72,69,69,68,71,70,68,68,38,70,68,72,Старт сезона
