id,team,attack,defense,control,efficiency,mentality,tempo,press,predictability,flexibility,home_power,coach,form,uncertainty,home_rating,away_rating,transfer_index,depth,version,date
1,Зенит,88,79,80,78,84,79,77,77,81,81,87,84,16,93,87,79,88,FAJ_PASSPORT_4.0,2026-07-29
2,Краснодар,80,77,79,77,82,77,76,75,79,79,84,79,22,86,79,80,84,FAJ_PASSPORT_4.0,2026-07-29
3,Локомотив,81,78,80,78,79,74,73,72,77,76,79,87,20,87,80,75,80,FAJ_PASSPORT_4.0,2026-07-29
4,Динамо М,80,78,76,74,78,73,72,71,76,75,81,81,24,88,79,74,79,FAJ_PASSPORT_4.0,2026-07-29
5,Спартак,80,76,75,72,76,73,74,71,75,75,76,76,32,84,74,73,78,FAJ_PASSPORT_4.0,2026-07-29
6,ЦСКА,78,80,73,71,74,72,71,70,73,72,79,79,26,85,76,71,76,FAJ_PASSPORT_4.0,2026-07-29
7,Ахмат,76,75,74,72,77,72,71,70,74,74,78,78,28,80,72,72,77,FAJ_PASSPORT_4.0,2026-07-29
8,Рубин,75,76,74,72,76,72,72,70,74,74,71,71,30,81,73,72,77,FAJ_PASSPORT_4.0,2026-07-29
9,Ростов,74,74,73,71,75,71,71,69,73,72,74,74,28,79,70,71,76,FAJ_PASSPORT_4.0,2026-07-29
10,Балтика,71,72,72,70,73,70,70,69,72,71,76,76,26,78,67,69,74,FAJ_PASSPORT_4.0,2026-07-29
11,Акрон,70,71,71,69,72,69,69,68,71,70,75,75,30,76,66,68,73,FAJ_PASSPORT_4.0,2026-07-29
12,Оренбург,72,73,73,71,74,71,71,70,73,72,70,70,32,77,68,70,75,FAJ_PASSPORT_4.0,2026-07-29
13,Факел,70,72,72,70,73,70,70,69,72,71,68,68,34,76,65,69,74,FAJ_PASSPORT_4.0,2026-07-29
14,Крылья Советов,69,71,72,70,73,70,70,68,72,71,67,67,36,74,64,70,75,FAJ_PASSPORT_4.0,2026-07-29
15,Динамо Мх,68,70,70,69,72,69,70,69,71,70,70,70,32,72,63,69,73,FAJ_PASSPORT_4.0,2026-07-29
16,Родина,67,69,70,69,72,69,69,68,71,70,68,68,38,70,61,68,72,FAJ_PASSPORT_4.0,2026-07-29
